fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,current_rank,rank_flag,current_p4p,p4p_flag,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result,next_date,next_opp
Sam Patterson,1996-04-30,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"United Kingdom, England",male,welterweight,16,NA,16,NA,16,16,6,4,2 KO 2 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,-1,4,0,8,2924,2948,2747,2023-03-18,L - Yanal Ashmouz,2026-03-21,L - Michael Page,NA,NA
Jordan Leavitt,1995-06-02,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"featherweight, lightweight",16,NA,16,NA,16,16,9,6,2 KO 2 Sub 2 Dec,3,0 KO 2 Sub 1 Dec,2,2,3,8.4,2923,2923,2746,2020-12-05,W - Matt Wiman,2026-02-21,W - Yadier del Valle,2026-06-06,Joanderson Brito
Nazim Sadykhov,1994-05-16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Azerbaijan, United States",male,lightweight,16,NA,16,NA,16,16,6,4,3 KO 1 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,-1,2,4,6.5,2923,2996,2772,2023-02-18,W - Evan Elder,2025-12-06,L - Fares Ziam,2026-06-27,Matheus Camilo
Baisangur Susurkaev,2001-01-08,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,middleweight,16,NA,16,NA,16,16,3,3,1 KO 2 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,3,3,0,10.3,2922,2922,2642,2025-08-16,W - Eric Nolan,2026-05-09,W - Djorden Santos,NA,NA
Lerryan Douglas,1995-04-27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,featherweight,16,NA,16,NA,16,16,1,1,1 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,0,4,2922,2922,2891,2026-03-28,W - Julian Erosa,2026-03-28,W - Julian Erosa,NA,NA
Drew Dober,1988-10-19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,NA,16,NA,13,16,27,15,11 KO 1 Sub 3 Dec,11,3 KO 4 Sub 4 Dec,2,3,10,6.2,2920,3093,2751,2013-11-30,L - Sean Spencer,2026-03-07,W - Michael Johnson,NA,NA
Kyle Daukaus,1993-02-27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,middleweight,16,NA,16,NA,16,16,9,4,1 KO 2 Sub 1 Dec,4,2 KO 0 Sub 2 Dec,2,2,2,7,2919,2919,2814,2020-06-27,L - Brendan Allen,2025-11-15,W - Gerald Meerschaert,2026-06-14,Bo Nickal
Jacobe Smith,1996-01-17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,NA,16,NA,16,16,3,3,2 KO 1 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,3,3,1,8.3,2918,2918,2709,2025-01-11,W - Preston Parsons,2026-02-21,W - Josiah Harrell,NA,NA
Kai Kamaka III,1995-01-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"lightweight, featherweight",16,NA,16,NA,16,16,5,2,0 KO 0 Sub 2 Dec,2,1 KO 0 Sub 1 Dec,1,1,1,8.8,2917,2917,2555,2020-08-15,W - Tony Kelley,2026-04-04,W - Dakota Hope,NA,NA
Allan Nascimento,1991-09-11,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,flyweight,16,NA,16,NA,16,16,5,4,0 KO 2 Sub 2 Dec,1,0 KO 0 Sub 1 Dec,4,4,2,8.2,2916,2916,2711,2021-10-30,L - Tagir Ulanbekov,2025-11-01,W - Cody Durden,2026-06-20,Mitch Raposo
William Gomis,1997-06-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,France,male,featherweight,16,NA,16,NA,16,16,7,5,1 KO 0 Sub 4 Dec,2,0 KO 0 Sub 2 Dec,-1,4,0,6.3,2916,2973,2837,2022-09-03,W - Jarno Errens,2026-05-09,L - Pat Sabatini,NA,NA
Maycee Barber,1998-05-18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,female,women's flyweight,6,NA,15,NA,4,14,13,10,4 KO 0 Sub 6 Dec,3,1 KO 0 Sub 2 Dec,-1,7,1,5,2916,3059,2709,2018-11-10,W - Hannah Cifers,2026-03-28,L - Alexa Grasso,NA,NA
Jeremiah Wells,1986-10-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,NA,16,NA,16,16,7,5,2 KO 1 Sub 2 Dec,2,0 KO 1 Sub 1 Dec,1,4,1,8.1,2915,2961,2801,2021-06-26,W - Warlley Alves,2025-11-01,W - Themba Gorimbo,NA,NA
Mario Pinto,1998-03-14,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Portugal,male,heavyweight,16,NA,16,NA,16,16,3,3,2 KO 0 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,3,3,1,6.3,2915,2915,2662,2025-03-01,W - Austen Lane,2026-03-21,W - Felipe Franco,NA,NA
Esteban Ribovics,1996-04-27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Argentina,male,lightweight,16,NA,16,NA,16,16,7,4,1 KO 0 Sub 3 Dec,3,0 KO 1 Sub 2 Dec,-1,3,3,7.6,2913,2948,2885,2023-03-04,L - Loik Radzhabov,2026-04-11,L - Mateusz Gamrot,NA,NA
MarQuel Mederos,1996-11-30,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,NA,16,NA,16,16,4,3,0 KO 0 Sub 3 Dec,0,0 KO 0 Sub 0 Dec,0,3,0,11.8,2912,2912,2726,2024-02-03,W - Landon Quinones,2026-04-11,D - Chris Padilla,NA,NA
