fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,total_time,mean_age,opp_age,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result
Jon Jones,1987-07-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"heavyweight, light heavyweight",-1,1,24,22,6 KO 6 Sub 10 Dec,1,0 KO 0 Sub 0 Dec,6,13,21408,26.8,33,9,1.8,3662,3662,3046,2008-08-09,W - Andre Gusmao,2024-11-16,W - Stipe Miocic
Khabib Nurmagomedov,1988-09-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Russia,male,lightweight,-1,1,13,13,2 KO 5 Sub 6 Dec,0,0 KO 0 Sub 0 Dec,13,13,10315,27.3,30.4,3,4.1,3648,3648,3034,2012-01-20,W - Kamal Shalorus,2020-10-24,W - Justin Gaethje
Stipe Miocic,1982-08-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Croatia, United States",male,heavyweight,-1,2,19,14,9 KO 0 Sub 5 Dec,5,4 KO 0 Sub 1 Dec,-2,6,12942,33.7,34.6,9,1.8,3391,3603,3108,2011-10-08,W - Joey Beltran,2024-11-16,L - Jon Jones
Francis Ngannou,1986-09-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Cameroon, France",male,heavyweight,-1,4,14,12,10 KO 1 Sub 1 Dec,2,0 KO 0 Sub 2 Dec,6,6,5892,31.8,33.4,6,2.6,3613,3601,3042,2015-12-19,W - Luis Henrique Barbosa,2022-01-22,W - Ciryl Gane
Daniel Cormier,1979-03-20,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,United States,male,heavyweight,-1,1,15,11,3 KO 4 Sub 4 Dec,3,1 KO 0 Sub 2 Dec,-2,4,12445,37.4,34.2,5,1.5,3366,3599,3182,2013-04-20,W - Frank Mir,2020-08-15,L - Stipe Miocic
Georges St-Pierre,1981-05-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Canada,male,"middleweight, welterweight",-1,2,22,20,5 KO 3 Sub 12 Dec,2,1 KO 1 Sub 0 Dec,13,13,20555,27.3,30.4,7,2.3,3536,3536,2918,2004-01-31,W - Karo Parisyan,2017-11-04,W - Michael Bisping
Dustin Poirier,1989-01-19,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,United States,male,lightweight,0,5,32,22,11 KO 4 Sub 7 Dec,9,3 KO 4 Sub 2 Dec,-2,4,20902,28.3,29.6,15,3.2,3284,3535,3012,2011-01-01,W - Josh Grispi,2025-07-19,L - Max Holloway
Tyron Woodley,1982-04-07,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,United States,male,welterweight,-1,6,16,9,5 KO 1 Sub 3 Dec,6,1 KO 1 Sub 4 Dec,-4,3,13201,34.4,32.1,6,2.4,3044,3487,3161,2013-02-02,W - Jay Hieron,2021-03-27,L - Vicente Luque
Chris Weidman,1984-06-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,United States,male,middleweight,-1,2,20,12,4 KO 3 Sub 5 Dec,8,7 KO 0 Sub 1 Dec,-1,9,12094,32.4,34.2,7,3.2,2785,3473,3032,2011-03-03,W - Alessio Sakara,2024-12-07,L - Eryk Anders
Glover Teixeira,1979-10-28,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Brazil, United States",male,light heavyweight,-1,8,23,16,6 KO 7 Sub 3 Dec,7,2 KO 1 Sub 4 Dec,-2,6,15906,37.4,31.5,10,2.5,3147,3460,2986,2012-05-26,W - Kyle Kingsbury,2023-01-21,L - Jamahal Hill
Tony Ferguson,1984-02-12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Mexico, United States",male,"welterweight, lightweight",0,9,24,15,5 KO 6 Sub 4 Dec,9,2 KO 3 Sub 4 Dec,-8,12,16292,33.4,31.9,11,3.4,2727,3460,2923,2011-06-04,W - Ramsey Nijem,2024-08-03,L - Michael Chiesa
Colby Covington,1988-02-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,0,16,17,12,2 KO 3 Sub 7 Dec,5,2 KO 1 Sub 2 Dec,-2,7,17285,30.6,32.7,2,4.6,3259,3453,3054,2014-08-22,W - Anying Wang,2024-12-14,L - Joaquin Buckley
Anderson Silva,1975-04-14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Brazil,male,middleweight,-1,1,25,17,11 KO 3 Sub 3 Dec,7,4 KO 0 Sub 3 Dec,-3,16,16250,36.7,32.2,14,1.2,2790,3444,2960,2006-06-28,W - Chris Leben,2020-10-31,L - Uriah Hall
Gilbert Burns,1986-07-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,welterweight,1,16,25,15,3 KO 5 Sub 7 Dec,10,5 KO 0 Sub 5 Dec,-5,6,18518,33.5,31.7,5,5,2929,3435,3002,2014-07-26,W - Andreas Stahl,2026-04-18,L - Mike Malott
Henry Cejudo,1987-02-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,-1,3,16,10,4 KO 0 Sub 6 Dec,6,1 KO 0 Sub 5 Dec,-4,6,13115,32,30.7,4,3.2,2970,3433,3044,2014-12-13,W - Dustin Kimura,2025-12-06,L - Payton Talbott
Luke Rockhold,1984-10-17,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,United States,male,"middleweight, light heavyweight",-1,3,11,6,2 KO 4 Sub 0 Dec,5,4 KO 0 Sub 1 Dec,-3,5,5099,31.8,35.4,5,1.6,2956,3415,3099,2013-05-18,L - Vitor Belfort,2022-08-20,L - Paulo Costa
Jorge Masvidal,1984-11-12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,United States,male,welterweight,3,15,22,12,6 KO 1 Sub 5 Dec,10,1 KO 0 Sub 9 Dec,-4,3,17618,32.4,31.6,7,3.5,3163,3413,3066,2013-04-20,W - Tim Means,2023-04-08,L - Gilbert Burns
Anthony Johnson,1984-03-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,light heavyweight,1,16,19,13,11 KO 0 Sub 2 Dec,6,1 KO 5 Sub 0 Dec,-1,3,7039,27.9,31.7,8,3.4,3284,3394,2894,2007-06-12,W - Chad Reiner,2017-04-08,L - Daniel Cormier
Fabricio Werdum,1977-07-30,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,Brazil,male,heavyweight,-1,4,18,12,4 KO 4 Sub 4 Dec,6,3 KO 0 Sub 3 Dec,1,6,11603,36.9,33.5,4,2.4,3123,3392,2933,2007-04-21,L - Andrei Arlovski,2020-07-25,W - Alexander Gustafsson
Michael Bisping,1979-02-28,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"United Kingdom, England",male,middleweight,-1,9,29,20,10 KO 0 Sub 10 Dec,9,3 KO 2 Sub 4 Dec,-2,5,21933,32.8,33.1,7,1.9,3146,3387,2851,2006-06-24,W - Josh Haynes,2017-11-25,L - Kelvin Gastelum
Jose Aldo,1986-09-09,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Brazil,male,"featherweight, bantamweight",-1,1,23,14,4 KO 0 Sub 10 Dec,9,4 KO 0 Sub 5 Dec,-2,7,22783,31.5,30.6,6,2,3051,3370,3105,2011-04-30,W - Mark Hominick,2025-05-10,L - Aiemann Zahabi
Yoel Romero,1977-04-30,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Cuba,male,middleweight,1,15,13,9,7 KO 0 Sub 2 Dec,4,0 KO 0 Sub 4 Dec,-3,8,11482,39,30.8,8,3.2,3150,3366,3105,2013-04-20,W - Clifford Starks,2020-03-07,L - Israel Adesanya
Robbie Lawler,1982-03-20,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,United States,male,"welterweight, middleweight",-1,4,25,15,8 KO 0 Sub 7 Dec,10,3 KO 3 Sub 4 Dec,1,5,19105,31.1,31,6,3.2,2964,3363,2902,2002-05-10,W - Aaron Riley,2023-07-08,W - Niko Price
TJ Dillashaw,1986-02-07,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"bantamweight, flyweight",-1,3,18,13,7 KO 1 Sub 5 Dec,5,3 KO 0 Sub 2 Dec,-1,4,13243,29.7,29.3,8,3.6,3203,3362,2909,2011-12-03,L - John Dodson,2022-10-22,L - Aljamain Sterling
Cain Velasquez,1982-07-28,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,United States,male,heavyweight,-1,3,15,12,10 KO 0 Sub 2 Dec,3,2 KO 1 Sub 0 Dec,-1,7,6662,29.5,31.2,4,2.3,3130,3354,2938,2008-04-19,W - Brad Morris,2019-02-17,L - Francis Ngannou
Demetrious Johnson,1986-08-13,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,United States,male,flyweight,-1,1,18,15,2 KO 5 Sub 8 Dec,2,0 KO 0 Sub 2 Dec,-1,13,20052,27.8,29.3,9,2,3164,3339,2867,2011-02-05,W - Norifumi Yamamoto,2018-08-04,L - Henry Cejudo
Donald Cerrone,1983-03-29,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,United States,male,welterweight,2,16,38,23,10 KO 6 Sub 7 Dec,14,8 KO 1 Sub 5 Dec,-2,8,21408,32.9,30.2,18,2.9,2714,3334,2930,2011-02-05,W - Paul Kelly,2022-07-02,L - Jim Miller
Gegard Mousasi,1985-08-01,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,"Armenia, Netherlands",male,middleweight,4,16,12,9,5 KO 1 Sub 3 Dec,3,1 KO 1 Sub 1 Dec,5,5,7207,29.9,35,4,2.3,3036,3331,2972,2013-04-06,W - Ilir Latifi,2017-04-08,W - Chris Weidman
Demian Maia,1977-11-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,welterweight,1,16,33,22,1 KO 11 Sub 10 Dec,11,2 KO 0 Sub 9 Dec,-2,7,24580,36.1,31.4,8,3.6,3025,3331,2941,2007-10-20,W - Ryan Jensen,2021-06-12,L - Belal Muhammad
Ronaldo Souza,1979-12-07,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Brazil,male,"middleweight, light heavyweight",1,16,16,9,4 KO 4 Sub 1 Dec,7,2 KO 1 Sub 4 Dec,-4,5,9454,37.2,31.9,7,2.3,2863,3327,3043,2013-05-18,W - Chris Camozzi,2021-05-15,L - Andre Muniz
Frankie Edgar,1981-10-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,United States,male,bantamweight,-1,9,30,18,5 KO 2 Sub 11 Dec,11,5 KO 0 Sub 6 Dec,-3,5,28632,32.5,30.2,11,2.6,2792,3322,2981,2007-02-03,W - Tyson Griffin,2022-11-12,L - Chris Gutierrez
Junior dos Santos,1984-01-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,heavyweight,-1,16,23,15,9 KO 1 Sub 5 Dec,8,7 KO 0 Sub 1 Dec,-4,9,14820,30.6,32.1,6,2.2,2638,3317,2988,2008-10-25,W - Fabricio Werdum,2020-12-12,L - Ciryl Gane
Benson Henderson,1983-11-16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,United States,male,"welterweight, lightweight",-1,5,14,11,0 KO 2 Sub 9 Dec,3,1 KO 1 Sub 1 Dec,2,7,15136,29.6,29.9,4,1.5,2767,3316,3044,2011-04-30,W - Mark Bocek,2015-11-28,W - Jorge Masvidal
Johny Hendricks,1983-09-12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,United States,male,"middleweight, welterweight",-1,8,21,13,5 KO 0 Sub 8 Dec,8,3 KO 0 Sub 5 Dec,-2,6,14962,29.9,30.6,6,4.2,2737,3316,2921,2009-08-08,W - Amir Sadollah,2017-11-04,L - Paulo Costa
Anthony Pettis,1987-01-27,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,United States,male,"welterweight, lightweight",-1,5,20,11,3 KO 4 Sub 4 Dec,9,3 KO 1 Sub 5 Dec,2,5,13900,29.5,31,8,3.1,2729,3316,3058,2011-06-04,L - Clay Guida,2020-12-19,W - Alex Morono
Derek Brunson,1984-01-04,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,United States,male,middleweight,4,16,21,14,7 KO 2 Sub 5 Dec,7,6 KO 0 Sub 1 Dec,-2,5,10806,33.8,32.4,3,3.5,3186,3307,2932,2012-12-29,W - Chris Leben,2023-03-04,L - Dricus Du Plessis
Alistair Overeem,1980-05-17,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,Netherlands,male,heavyweight,1,16,20,12,9 KO 0 Sub 3 Dec,8,8 KO 0 Sub 0 Dec,-1,4,11089,36.5,33.8,2,2.2,3029,3301,2976,2011-12-30,W - Brock Lesnar,2021-02-06,L - Alexander Volkov
Michael Chiesa,1987-12-07,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,5,16,22,15,0 KO 9 Sub 6 Dec,7,1 KO 5 Sub 1 Dec,4,4,12159,30.9,32.1,5,4.2,3115,3300,2884,2012-06-01,W - Al Iaquinta,2026-03-28,W - Niko Price
Rory MacDonald,1989-07-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Canada,male,welterweight,1,16,13,9,3 KO 1 Sub 5 Dec,4,2 KO 0 Sub 2 Dec,-2,5,10682,23.6,31.5,4,3.3,2753,3293,2965,2010-01-11,W - Mike Guymon,2016-06-18,L - Stephen Thompson
Marlon Moraes,1988-04-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,bantamweight,1,16,11,5,2 KO 1 Sub 2 Dec,6,5 KO 0 Sub 1 Dec,-4,4,5169,31.3,31.3,3,3.3,2609,3286,3084,2017-06-03,L - Raphael Assuncao,2022-03-12,L - Song Yadong
Vitor Belfort,1977-04-01,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Brazil,male,middleweight,-1,11,26,15,12 KO 2 Sub 1 Dec,10,7 KO 1 Sub 2 Dec,-1,3,8667,31.2,33.9,6,2.5,2922,3275,2837,1997-02-07,W - Tra Telligman,2018-05-12,L - Lyoto Machida
Eddie Alvarez,1984-01-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,-1,6,8,4,2 KO 0 Sub 2 Dec,3,2 KO 0 Sub 1 Dec,-1,3,5349,32.7,30.1,2,2.4,2852,3266,3186,2014-09-27,L - Donald Cerrone,2018-07-28,L - Dustin Poirier
Nate Diaz,1985-04-16,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,United States,male,welterweight,4,16,27,16,2 KO 10 Sub 4 Dec,11,2 KO 0 Sub 9 Dec,1,5,20236,27.5,29.6,16,2.8,3185,3261,2894,2007-06-23,W - Manny Gamburyan,2022-09-10,W - Tony Ferguson
Thiago Santos,1984-01-07,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,light heavyweight,1,16,24,14,11 KO 0 Sub 3 Dec,10,3 KO 3 Sub 4 Dec,-2,4,14331,33.9,31,7,4.6,2788,3261,2903,2013-08-03,L - Cezar Ferreira,2022-08-06,L - Jamahal Hill
Anthony Smith,1988-07-26,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,United States,male,light heavyweight,2,16,25,13,6 KO 5 Sub 2 Dec,12,6 KO 1 Sub 5 Dec,-3,3,15572,31.8,31.9,7,4.4,2731,3258,2929,2013-06-08,L - Antonio Braga Neto,2025-04-26,L - Zhang Mingyang
Ben Askren,1984-07-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,5,16,3,1,0 KO 1 Sub 0 Dec,2,1 KO 1 Sub 0 Dec,-2,1,1039,35,37.9,1,2.3,3047,3256,3181,2019-03-02,W - Robbie Lawler,2019-10-26,L - Demian Maia
Jailton Almeida,1991-06-26,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,heavyweight,5,16,11,8,3 KO 4 Sub 1 Dec,3,1 KO 0 Sub 2 Dec,-2,6,5494,32.4,34.7,4,5.5,3059,3253,2940,2022-02-05,W - Danilo Marques,2026-02-07,L - Rizvan Kuniev
Kevin Lee,1992-09-04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"welterweight, lightweight",4,16,19,11,3 KO 4 Sub 4 Dec,8,1 KO 4 Sub 3 Dec,-3,5,13025,24.9,31.2,3,5.4,2848,3242,2930,2014-02-01,L - Al Iaquinta,2023-07-01,L - Rinat Fakhretdinov
Dominick Cruz,1985-03-09,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,United States,male,bantamweight,-1,2,10,7,1 KO 0 Sub 6 Dec,3,2 KO 0 Sub 1 Dec,-1,5,10996,32.2,30.9,5,2.9,3074,3240,3044,2011-07-02,W - Urijah Faber,2022-08-13,L - Marlon Vera
Dan Henderson,1970-08-24,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,United States,male,middleweight,-1,10,18,9,4 KO 0 Sub 5 Dec,9,3 KO 2 Sub 4 Dec,-1,4,13205,40.5,32.5,7,2.3,3026,3235,2931,1998-05-15,W - Allan Goes,2016-10-08,L - Michael Bisping
Alexander Gustafsson,1987-01-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Sweden,male,"light heavyweight, heavyweight",1,13,18,10,5 KO 2 Sub 3 Dec,8,3 KO 3 Sub 2 Dec,-4,6,11188,27.7,32.8,5,3.2,2832,3232,2961,2009-11-14,W - Jared Hamman,2022-07-23,L - Nikita Krylov
Ryan Bader,1983-06-07,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,light heavyweight,3,16,20,15,5 KO 1 Sub 9 Dec,5,3 KO 2 Sub 0 Dec,2,5,12281,29.5,33.7,2,3,3162,3230,2846,2008-12-13,W - Vinny Magalhaes,2016-11-20,W - Antonio Rogerio Nogueira
Joseph Benavidez,1984-07-31,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,United States,male,flyweight,1,16,21,15,5 KO 1 Sub 9 Dec,6,2 KO 1 Sub 3 Dec,-3,6,14412,31.3,29.5,4,4.7,2928,3230,2818,2011-03-19,W - Ian Loveland,2021-03-06,L - Askar Askarov
Lyoto Machida,1978-05-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,middleweight,-1,16,24,16,7 KO 1 Sub 8 Dec,8,3 KO 2 Sub 3 Dec,2,8,17145,33.8,31.7,9,2.2,2845,3223,2948,2007-02-03,W - Sam Hoger,2018-05-12,W - Vitor Belfort
Zabit Magomedsharipov,1991-03-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,featherweight,2,16,6,6,0 KO 3 Sub 3 Dec,0,0 KO 0 Sub 0 Dec,6,6,4658,27.4,29.9,4,4.8,3215,3215,2792,2017-09-02,W - Mike Santiago,2019-11-09,W - Calvin Kattar
Rinat Fakhretdinov,1991-09-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,welterweight,15,16,7,6,1 KO 1 Sub 4 Dec,0,0 KO 0 Sub 0 Dec,3,3,4609,32.2,33.5,0,10,3213,3213,2923,2022-06-04,W - Andreas Michailidis,2025-09-06,W - Andreas Gustafsson
Al Iaquinta,1987-04-30,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,4,16,15,9,4 KO 0 Sub 5 Dec,6,1 KO 2 Sub 3 Dec,-3,5,11426,28.9,30,2,4.3,2801,3212,2869,2012-06-01,L - Michael Chiesa,2021-11-06,L - King Green
David Branch,1981-09-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,middleweight,7,16,9,4,1 KO 0 Sub 3 Dec,5,2 KO 3 Sub 0 Dec,-2,2,4942,33.2,31.6,1,5.8,2824,3206,2853,2010-07-03,L - Gerald Harris,2019-03-30,L - Jack Hermansson
Chad Mendes,1985-05-01,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,United States,male,featherweight,1,16,14,9,6 KO 0 Sub 3 Dec,5,4 KO 0 Sub 1 Dec,-1,5,6979,29,29.7,5,3.6,3013,3201,2938,2011-02-05,W - Michihiro Omigawa,2018-12-29,L - Alexander Volkanovski
Chael Sonnen,1977-04-03,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,United States,male,light heavyweight,6,16,14,7,0 KO 2 Sub 5 Dec,7,3 KO 4 Sub 0 Dec,-1,3,8555,33.1,31.5,3,3.4,2812,3198,2992,2005-10-07,L - Renato Sobral,2013-11-16,L - Rashad Evans
Will Brooks,1986-10-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,11,16,4,1,0 KO 0 Sub 1 Dec,3,1 KO 2 Sub 0 Dec,-3,1,2285,30.3,30.3,0,4.8,2857,3197,2797,2016-07-08,W - Ross Pearson,2017-11-18,L - Nik Lentz
Carlos Condit,1984-04-26,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,United States,male,welterweight,0,16,19,9,5 KO 0 Sub 4 Dec,10,1 KO 3 Sub 6 Dec,-1,5,15077,30.7,31.1,7,2.6,2792,3196,2971,2009-04-01,L - Martin Kampmann,2021-07-10,L - Max Griffin
Renan Barao,1987-01-31,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,Brazil,male,"featherweight, bantamweight",-1,3,17,9,2 KO 3 Sub 4 Dec,8,3 KO 0 Sub 5 Dec,-5,7,14118,28.2,30.6,6,3.9,2496,3196,2800,2011-05-28,W - Cole Escovedo,2019-11-16,L - Douglas Silva de Andrade
Darren Till,1992-12-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"United Kingdom, England",male,middleweight,2,16,12,6,2 KO 0 Sub 4 Dec,5,1 KO 3 Sub 1 Dec,-3,4,9797,25.8,31.8,4,3.1,2939,3190,3044,2015-05-30,W - Wendell Oliveira,2022-12-10,L - Dricus Du Plessis
Rashad Evans,1979-09-25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,United States,male,"light heavyweight, middleweight",-1,16,23,14,6 KO 0 Sub 8 Dec,8,3 KO 0 Sub 5 Dec,-5,5,17316,31.4,32,4,2.2,2773,3189,2885,2005-11-05,W - Brad Imes,2018-06-09,L - Anthony Smith
Corey Anderson,1989-09-22,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,light heavyweight,4,16,15,10,3 KO 0 Sub 7 Dec,5,4 KO 0 Sub 1 Dec,-1,4,9760,27.4,33.5,2,4.7,3404,3187,2826,2014-07-06,W - Matt Van Buren,2020-02-15,L - Jan Blachowicz
Andrei Arlovski,1979-02-04,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Belarus, United States",male,heavyweight,-1,16,42,23,9 KO 2 Sub 12 Dec,18,8 KO 3 Sub 7 Dec,-4,7,24605,35.3,31.1,3,3.9,2549,3184,2764,2000-11-17,W - Aaron Brink,2024-06-29,L - Martin Buday
Alex Oliveira,1988-02-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,welterweight,13,16,22,11,4 KO 3 Sub 4 Dec,10,2 KO 5 Sub 3 Dec,-4,3,12623,30.2,30.9,5,5,2510,3184,2843,2015-03-21,L - Gilbert Burns,2022-03-05,L - Kevin Holland
Patchy Mix,1993-08-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,-2,-1,1800,32,30.5,0,6,2902,3182,3070,2025-06-07,L - Mario Bautista,2025-10-04,L - Jakub Wiklacz
Pedro Munhoz,1986-09-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,bantamweight,4,16,22,10,3 KO 3 Sub 4 Dec,10,0 KO 0 Sub 10 Dec,-3,4,15131,32.7,31,7,6.7,2814,3178,2915,2014-02-22,L - Raphael Assuncao,2024-11-02,L - Aiemann Zahabi
Andre Muniz,1990-02-17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,middleweight,10,16,10,6,0 KO 3 Sub 3 Dec,4,3 KO 1 Sub 0 Dec,-2,5,5331,32.7,33.5,1,5.9,2766,3177,2917,2019-11-16,W - Antonio Arroyo,2025-10-04,L - Edmen Shahbazyan
Antonio Rodrigo Nogueira,1976-06-02,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Brazil,male,heavyweight,0,16,11,5,1 KO 2 Sub 2 Dec,6,3 KO 2 Sub 1 Dec,-3,2,5598,34.9,32.2,0,2.2,2633,3174,2818,2007-07-07,W - Heath Herring,2015-08-01,L - Stefan Struve
Muhammad Mokaev,2000-07-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"United Kingdom, England, Russia",male,flyweight,6,16,7,7,0 KO 4 Sub 3 Dec,0,0 KO 0 Sub 0 Dec,7,7,5279,22.8,32,2,8.7,3174,3171,2793,2022-03-19,W - Cody Durden,2024-07-27,W - Manel Kape
Jon Fitch,1978-02-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,9,16,18,14,1 KO 3 Sub 10 Dec,3,1 KO 0 Sub 2 Dec,-1,8,14338,30.9,28.6,2,4.1,2993,3168,2794,2005-10-03,W - Brock Larson,2013-02-02,L - Demian Maia
Anthony Rocco Martin,1989-12-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,15,16,15,9,1 KO 3 Sub 5 Dec,6,0 KO 2 Sub 4 Dec,-1,4,11444,27.5,31.8,0,7.9,3057,3163,2825,2014-02-01,L - Rashid Magomedov,2020-06-06,L - Neil Magny
Chuck Liddell,1969-12-17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,United States,male,light heavyweight,-1,16,23,16,10 KO 0 Sub 6 Dec,7,6 KO 0 Sub 1 Dec,-3,7,12269,34.5,NA,3,2.5,2633,3160,2640,1998-05-15,W - Noe Hernandez,2010-06-12,L - Rich Franklin
Mirko Filipovic,1974-09-10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,Croatia,male,heavyweight,15,16,11,5,4 KO 1 Sub 0 Dec,6,4 KO 1 Sub 1 Dec,1,2,7006,35.4,31.4,2,2.5,3081,3159,2644,2007-02-03,W - Eddie Sanchez,2015-04-11,W - Gabriel Gonzaga
