fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,total_time,mean_age,opp_age,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result
Mana Martinez,1996-03-25,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,16,4,2,0 KO 0 Sub 2 Dec,2,0 KO 0 Sub 2 Dec,-1,1,3600,26.2,31.5,0,9.8,2404,2618,2563,2021-08-28,W - Guido Cannetti,2023-03-04,L - Cameron Saaiman
Joe Slick,1977-10-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,middleweight,16,16,2,1,1 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,-1,1,810,22.3,27.3,0,4,2246,2617,2261,1999-11-19,W - Jason DeLucia,2000-04-14,L - Ikuhisa Minowa
Tim Williams,1986-07-03,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,middleweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,-2,-1,996,31.9,29.7,0,9,2570,2616,2801,2018-02-18,L - Oskar Piechota,2018-08-25,L - Eryk Anders
Chris Clements,1976-02-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Canada,male,welterweight,16,16,5,2,1 KO 0 Sub 1 Dec,2,1 KO 0 Sub 1 Dec,-1,1,3095,37.6,31.8,0,8.6,2430,2616,2479,2012-04-21,W - Keith Wisniewski,2015-04-25,L - Nordine Taleb
Sean Soriano,1989-10-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"featherweight, lightweight",16,16,5,0,0 KO 0 Sub 0 Dec,5,0 KO 3 Sub 2 Dec,-5,-1,3392,27.6,30.4,0,8.6,2385,2616,2681,2014-01-04,L - Tatsuya Kawajiri,2021-11-20,L - Shayilan Nuerdanbieke
Konstantin Erokhin,1983-01-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,heavyweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,-2,-1,1800,32.5,30.5,0,9,2469,2615,2552,2015-01-24,L - Viktor Pesta,2015-12-11,L - Gabriel Gonzaga
Bevon Lewis,1991-05-05,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,middleweight,16,16,4,1,0 KO 0 Sub 1 Dec,3,2 KO 0 Sub 1 Dec,-1,1,3178,28.5,31.2,0,8.5,2379,2615,2672,2018-12-29,L - Uriah Hall,2020-11-07,L - Trevin Giles
Anthony Ivy,1990-01-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,-2,-1,959,30.5,30,0,10.5,2665,2613,2616,2020-06-13,L - Christian Aguilera,2020-09-12,L - Bryan Barberena
James Llontop,1999-08-02,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Peru,male,lightweight,16,16,3,0,0 KO 0 Sub 0 Dec,3,0 KO 1 Sub 2 Dec,-3,-1,2073,25,29.9,0,8.3,2547,2613,2692,2024-04-27,L - Chris Padilla,2024-11-16,L - Mauricio Ruffy
Frankie Perez,1989-05-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,16,4,1,1 KO 0 Sub 0 Dec,3,1 KO 0 Sub 2 Dec,-2,1,2568,26.9,27.6,1,9.8,2497,2613,2620,2015-01-18,L - Johnny Case,2017-07-22,L - Chris Wade
Cody Pfister,1990-07-12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,16,4,1,0 KO 0 Sub 1 Dec,3,0 KO 2 Sub 1 Dec,-2,1,2550,25.3,27.5,0,8.5,2379,2613,2580,2015-02-14,L - James Moontasri,2016-07-13,L - Scott Holtzman
Jared Vanderaa,1992-05-12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,heavyweight,16,16,7,1,0 KO 0 Sub 1 Dec,6,3 KO 1 Sub 2 Dec,-5,1,4864,29.6,33.7,1,6.3,2377,2613,2685,2021-02-20,L - Serghei Spivac,2022-10-29,L - Waldo Cortes-Acosta
Niklas Stolze,1992-12-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Germany,male,"lightweight, welterweight",16,16,3,0,0 KO 0 Sub 0 Dec,3,1 KO 1 Sub 1 Dec,-3,-1,1360,28.5,29.1,0,9,2376,2613,2726,2020-07-25,L - Ramazan Emeev,2022-06-04,L - Benoit Saint Denis
Mark Kerr,1968-12-21,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,United States,male,heavyweight,-1,16,4,4,2 KO 2 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,4,4,310,28.7,NA,0,5,2190,2613,2205,1997-07-27,W - Moti Horenstein,1997-10-17,W - Dwayne Cason
Thomas Speer,1984-08-20,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,United States,male,welterweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 1 Sub 0 Dec,-2,-1,172,23.5,26,0,7,2582,2612,2459,2007-12-08,L - Mac Danzig,2008-04-02,L - Anthony Johnson
KB Bhullar,1991-10-12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Canada,male,middleweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,-2,-1,1002,29.3,30.9,0,8.5,2522,2612,2710,2020-10-10,L - Tom Breese,2021-05-01,L - Andreas Michailidis
Pablo Garza,1983-09-16,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,United States,male,featherweight,16,16,6,3,1 KO 1 Sub 1 Dec,3,0 KO 2 Sub 1 Dec,-1,2,2721,28.4,28,2,7.5,2520,2612,2589,2010-12-04,W - Fredson Paixao,2013-04-06,L - Diego Brandao
Keith Berish,1985-11-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"middleweight, light heavyweight",16,16,2,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,-1,0,1023,29.9,34,0,11,2504,2612,2641,2014-07-06,NC - Robert Drysdale,2016-12-09,L - Ryan Janes
Valmir Lazaro,1985-08-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,lightweight,16,16,3,1,0 KO 0 Sub 1 Dec,2,0 KO 0 Sub 2 Dec,-1,1,2700,29.6,30.2,0,9.3,2501,2612,2707,2014-08-23,L - James Vick,2015-11-21,L - Michel Prazeres
Don Shainis,1991-09-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,featherweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 1 Sub 1 Dec,-2,-1,930,31.2,29.3,0,7,2473,2612,2888,2022-10-01,L - Sodiq Yusuff,2023-02-11,L - Jack Jenkins
